date,T1,T3,T6,T5,T8,T10
2005-05-31,1.3104186821570592e-08,6.890587823373516e-20,3.5732015998647706e-20,2.0289150855732954e-21,0.6681574176450511,4.988352011018367e-17
2005-06-30,1.7942990666839073e-08,2.1595540565338672e-14,3.5661079126214886e-12,4.238394523169323e-15,0.9999742505055395,5.886763608609683e-13
2005-07-31,,,,,,
2005-08-31,1.0900027168028775e-09,7.288034855759588e-18,5.698974044138114e-17,3.1323541874287135e-20,0.9999917651858012,4.096693089670381e-17
2005-09-30,2.217160341736212e-08,2.645674784848789e-21,1.0078701418190134e-17,7.918659468095457e-19,0.9999975011420613,2.811952983434009e-17
2005-10-31,,,,,,
2005-11-30,0.0003333128153234291,1.0336963368909758e-09,2.7512477311377638e-08,3.547137330149199e-08,0.9010015138478561,2.3669552853502737e-10
2005-12-31,8.581220225672336e-09,1.7532536210575943e-20,6.161763162257326e-21,8.961182794339005e-21,0.9826483313312022,4.2583443894675845e-19
2006-01-31,3.3662596175235624e-08,3.343356112062341e-19,5.636171243418598e-17,4.4071554597623884e-21,0.12023271306931162,3.422993713794198e-17
2006-02-28,,,,,,
2006-03-31,2.1585916356953586e-08,1.0568755688498482e-19,2.2196249648366784e-20,3.6999853790045964e-21,0.14251151440630827,8.507107653450331e-19
2006-04-30,,,,,,
2006-05-31,1.2095655268140958e-09,1.1104305536499975e-19,8.613142839965141e-19,2.8454595402455207e-20,0.02618878347088824,1.6008395941291357e-18
2006-06-30,1.0406206876325673e-10,4.312608584730963e-22,6.5301125033175675e-21,1.1218101663336328e-23,1.8781714129652742e-07,4.559347293306244e-21
2006-07-31,,,,,,
2006-08-31,3.0289234638568947e-13,4.6131022640400956e-24,1.3664530113557635e-23,4.714318494808904e-25,3.918200737145523e-10,4.877656538411242e-22
2006-09-30,9.343949789095666e-12,1.4383663540335309e-24,1.2931633622346318e-22,1.382467655313629e-24,8.471889829942028e-10,3.937790298719598e-22
2006-10-31,3.736184768785523e-12,7.594523999685877e-20,1.8125850613785483e-18,3.55654299444812e-20,7.288518599834126e-11,1.0231284795225312e-17
2006-11-30,,,,,,
2006-12-31,1.40489872279138e-11,2.2068581128350268e-23,1.5816900830467733e-20,2.372685065044382e-22,1.9006398015687345e-09,3.3795125707298775e-19
2007-01-31,,,,,,
2007-02-28,,,,,,
2007-03-31,,,,,,
2007-04-30,,,,,,
2007-05-31,,,,,,
2007-06-30,,,,,,
2007-07-31,,,,,,
2007-08-31,,,,,,
2007-09-30,,,,,,
2007-10-31,6.612520091007327e-07,6.421633057038405e-16,5.1139405308808e-16,1.4564488715433553e-17,2.554220243408866e-07,2.197795652432499e-16
2007-11-30,,,,,,
2007-12-31,3.7055974101137853e-07,6.003596878117241e-16,4.795081528555622e-14,2.7979112392013437e-15,2.999246043945325e-05,9.686779796888623e-14
2008-01-31,6.333736995040893e-08,6.656058308352573e-13,1.3829767657530032e-13,1.622793942438432e-14,1.0002280970043926e-05,4.039820520851359e-14
2008-02-29,,,,,,
2008-03-31,2.3032101742000854e-05,3.220253082289773e-11,9.944419216051622e-13,5.7580801392002896e-11,1.6239483081798666e-05,5.31609119020252e-12
2008-04-30,2.2336155100347797e-08,1.0031637606335305e-09,2.395540625225775e-10,4.367351314333113e-11,3.9933706577282135e-05,5.516906757065765e-10
2008-05-31,,,,,,
2008-06-30,,,,,,
2008-07-31,,,,,,
