title,year,n_chars,n_words,n_sentences,avg_word_length,avg_sentence_length_words,avg_sentence_length_chars,vocab_size,type_token_ratio,hapax_legomena,hapax_ratio
2008-10-29,2008,37912.0,6181.0,223.0,5.2253680634201585,27.717488789237667,170.00896860986546,1346.0,0.21776411583886102,665.0,0.10758776896942242
2008-12-16,2008,44406.0,7217.0,250.0,5.241790217541915,28.868,177.624,1403.0,0.1944021061382846,669.0,0.09269779686850492
2009-01-28,2009,35545.0,5806.0,204.0,5.208232862555977,28.46078431372549,174.24019607843138,1323.0,0.22786772304512573,690.0,0.11884257664485015
2009-03-18,2009,32214.0,5356.0,198.0,5.106609410007469,27.050505050505052,162.6969696969697,1250.0,0.23338312173263628,664.0,0.1239731142643764
2009-04-29,2009,34667.0,5675.0,194.0,5.198590308370044,29.25257731958763,178.6958762886598,1304.0,0.2297797356828194,655.0,0.11541850220264317
2009-06-24,2009,37622.0,6271.0,222.0,5.094402806569925,28.24774774774775,169.46846846846847,1395.0,0.2224525594004146,716.0,0.11417636740551747
2009-08-12,2009,38035.0,6371.0,217.0,5.063883220844452,29.359447004608295,175.27649769585253,1339.0,0.2101710877413279,632.0,0.09919949772406216
2009-09-23,2009,39634.0,6611.0,217.0,5.086976251701709,30.465437788018434,182.6451612903226,1312.0,0.1984571169263349,618.0,0.09348056269853275
2009-11-04,2009,36199.0,6039.0,206.0,5.08842523596622,29.315533980582526,175.7233009708738,1296.0,0.21460506706408347,668.0,0.11061434012253685
2009-12-16,2009,42055.0,6938.0,243.0,5.157105794176997,28.551440329218106,173.06584362139918,1429.0,0.20596713750360335,674.0,0.09714615162871144
2010-01-27,2010,35438.0,5855.0,200.0,5.147907771135781,29.275,177.19,1314.0,0.22442356959863366,627.0,0.10708795900939368
2010-03-16,2010,33674.0,5532.0,175.0,5.178958785249458,31.611428571428572,192.42285714285714,1287.0,0.232646420824295,629.0,0.11370209689081706
